Time,Message
707060.4971497,"0.00
"
707060.4984747,"0.00
"
707060.499709,"0.00
"
707060.5009606,"0.00
"
707060.5022946,"0.00
"
707060.5034881,"0.00
"
707060.5048619,"0.00
"
707060.5060799,"0.00
"
707060.5073201,"0.00
"
707060.5086088,"0.00
"
707060.5098427,"0.00
"
707060.5110785,"0.00
"
707060.5125343,"0.00
"
707060.5136723,"0.00
"
707060.5149988,"0.00
"
707060.516241,"0.00
"
707060.5175062,"0.00
"
707060.5187636,"0.00
"
707060.520005,"0.00
"
707060.5212795,"0.00
"
707060.5225825,"0.00
"
707060.523828,"0.00
"
707060.5250949,"0.00
"
707060.526452,"0.00
"
707060.5276408,"0.00
"
707060.5289262,"0.00
"
707060.5301661,"0.00
"
707060.5314404,"0.00
"
707060.5326983,"0.00
"
707060.5339579,"0.00
"
707060.5352149,"0.00
"
707060.5364989,"0.00
"
707060.537763,"0.00
"
707060.5395011,"0.00
"
707060.5403251,"0.00
"
707060.5415523,"0.00
"
707060.5428932,"0.00
"
707060.5440572,"0.00
"
707060.5453875,"0.00
"
707060.5466495,"0.00
"
707060.5478641,"0.00
"
707060.5491715,"0.00
"
707060.5504466,"0.00
"
707060.5516894,"0.00
"
707060.5530937,"0.00
"
707060.5542238,"0.00
"
707060.5558269,"0.00
"
707060.556794,"0.00
"
707060.5580569,"0.00
"
707060.5593743,"0.00
"
707060.5605598,"0.00
"
707060.5618662,"0.00
"
707060.5630679,"0.00
"
707060.5643818,"0.00
"
707060.5656321,"0.00
"
707060.5668448,"0.00
"
707060.5681406,"0.00
"
707060.5694392,"0.00
"
707060.5707371,"0.00
"
707060.5722769,"0.00
"
707060.573244,"0.00
"
707060.5746601,"0.00
"
707060.5757881,"0.00
"
707060.5770357,"0.00
"
707060.5782963,"0.00
"
707060.5795643,"0.00
"
707060.5808669,"0.00
"
707060.5820586,"0.00
"
707060.5833691,"0.00
"
707060.5846285,"0.00
"
707060.5858974,"0.00
"
707060.5871675,"0.00
"
707060.5885007,"0.00
"
707060.5897888,"0.00
"
707060.5914245,"0.00
"
707060.5923526,"0.00
"
707060.5935505,"0.00
"
707060.5947731,"0.00
"
707060.5960229,"0.00
"
707060.5972945,"0.00
"
707060.5986223,"0.00
"
707060.5998713,"0.00
"
707060.6010817,"0.00
"
707060.6023839,"0.00
"
707060.6036603,"0.00
"
707060.6051777,"0.00
"
707060.6062469,"0.00
"
707060.607491,"0.00
"
707060.6088559,"0.00
"
707060.6100674,"0.00
"
707060.6114013,"0.00
"
707060.6125872,"0.00
"
707060.6138312,"0.00
"
707060.6150691,"0.00
"
707060.6163568,"0.00
"
707060.6176149,"0.00
"
707060.6189297,"0.00
"
707060.6201956,"0.00
"
707060.6214761,"0.00
"
707060.6233196,"0.00
"
707060.6239798,"0.00
"
707060.6252891,"0.00
"
707060.6265562,"0.00
"
707060.6279506,"0.00
"
707060.6290867,"0.00
"
707060.6302969,"0.00
"
707060.6315658,"0.00
"
707060.6328737,"0.00
"
707060.6340746,"0.00
"
707060.6353431,"0.00
"
707060.636702,"0.00
"
707060.6378772,"0.00
"
707060.6397344,"0.00
"
707060.640469,"0.00
"
707060.6418259,"0.00
"
707060.6429958,"0.00
"
707060.6444842,"0.00
"
707060.645524,"0.00
"
707060.6467253,"0.00
"
707060.6480628,"0.00
"
707060.6493825,"0.00
"
707060.6505524,"0.00
"
707060.6519163,"0.00
"
707060.653037,"0.00
"
707060.6543753,"0.00
"
707060.6559111,"0.00
"
707060.6570652,"0.00
"
707060.6582196,"0.00
"
707060.6595219,"0.00
"
707060.6606801,"0.00
"
707060.6619966,"0.00
"
707060.6631846,"0.00
"
707060.6644298,"0.00
"
707060.6657128,"0.00
"
707060.6669719,"0.00
"
707060.6683332,"0.00
"
707060.6695058,"0.00
"
707060.6708547,"0.00
"
707060.6723763,"0.00
"
707060.6733974,"0.00
"
707060.674698,"0.00
"
707060.6760444,"0.00
"
707060.6771677,"0.00
"
707060.6785338,"0.00
"
707060.6797899,"0.00
"
707060.6811081,"0.00
"
707060.6824481,"0.00
"
707060.6836613,"0.00
"
707060.6850184,"0.00
"
707060.6862717,"0.00
"
707060.6875969,"0.00
"
707060.6892699,"0.00
"
707060.6903386,"0.00
"
707060.6914762,"0.00
"
707060.6928348,"0.00
"
707060.6940274,"0.00
"
707060.6953091,"0.00
"
707060.6965998,"0.00
"
707060.6978797,"0.00
"
707060.6991957,"0.00
"
707060.7004548,"0.00
"
707060.7017354,"0.00
"
